Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Callee","[G4run.dll]","DetectorConstruction::`scalar deleting destructor'",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"Callee","[G4run.dll]","PhysicsList::`scalar deleting destructor'",1,0.00,0.00,1.02,1.01,"Hadr04.exe",
"Callee","[G4run.dll]","PrimaryGeneratorAction::`scalar deleting destructor'",1,0.00,0.00,0.03,0.00,"Hadr04.exe",
"Callee","[G4run.dll]","Run::`scalar deleting destructor'",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","[G4run.dll]","RunAction::`scalar deleting destructor'",1,0.00,0.00,0.25,0.00,"Hadr04.exe",
"Callee","[G4run.dll]","StackingAction::`scalar deleting destructor'",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","[G4run.dll]","SteppingAction::`scalar deleting destructor'",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","[G4run.dll]","TrackingAction::`scalar deleting destructor'",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","[MSVCP120.dll]","[MSVCP120.dll]",24,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"Caller","[MSVCP120.dll]","Run::EndOfRun",24,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","__atonexitinit","__atonexitinit",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Caller","__atonexitinit","__tmainCRTStartup",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","__CxxSetUnhandledExceptionFilter","__CxxSetUnhandledExceptionFilter",1,0.00,0.00,0.01,0.01,"Hadr04.exe",
"Caller","__CxxSetUnhandledExceptionFilter","__tmainCRTStartup",1,0.00,0.00,0.01,0.01,"Hadr04.exe",
"Root","__getmainargs","__getmainargs",1,0.00,0.00,0.01,0.01,"MSVCR120.dll",
"Caller","__getmainargs","pre_cpp_init",1,0.00,0.00,0.01,0.01,"Hadr04.exe",
"Root","__security_init_cookie","__security_init_cookie",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Caller","__security_init_cookie","mainCRTStartup",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","__SEH_epilog4","__SEH_epilog4",48,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Caller","__SEH_epilog4","_onexit",46,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Caller","__SEH_epilog4","`eh vector destructor iterator'",2,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","__SEH_prolog4","__SEH_prolog4",49,0.00,0.00,0.00,0.00,"Hadr04.exe",
