Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"G4String::G4String",2,0.00,0.00,0.00,0.00,"Hadr04.exe",
"NeutronHPMessenger::`scalar deleting destructor'",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"__set_app_type",1,0.00,0.00,0.00,0.00,"MSVCR120.dll",
"std::_Uninit_move<yystype *,yystype *,std::allocator<yystype>,yystype>",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"RunAction::RunAction",1,0.00,0.00,0.79,0.00,"Hadr04.exe",
"std::_Tree_buy<std::pair<G4String const ,Run::ParticleData>,std::allocator<std::pair<G4String const ,Run::ParticleData> > >::_Buynode<std::piecewise_construct_t const &,std::tuple<G4String const &>,std::tuple<> >",8,0.00,0.00,0.00,0.00,"Hadr04.exe",
"TrackingAction::`scalar deleting destructor'",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"SteppingAction::`scalar deleting destructor'",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::less<G4String>::operator()",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::vector<yystype,std::allocator<yystype> >::_Reserve",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"?SetUserInitialization@G4RunManager@@UAEXPAVG4VUserActionInitialization@@@Z",1,0.00,0.00,0.94,0.00,"G4run.dll",
"Run::SetPrimary",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::vector<G4UIparameter *,std::allocator<G4UIparameter *> >::_Reserve",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"ActionInitialization::ActionInitialization",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::vector<G4String,std::allocator<G4String> >::push_back",8,0.00,0.00,0.00,0.00,"Hadr04.exe",
"pre_c_init",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"StackingAction::StackingAction",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree<std::_Tmap_traits<G4String,int,std::less<G4String>,std::allocator<std::pair<G4String const ,int> >,0> >::_Insert_hint<std::pair<G4String const ,int> &,std::_Tree_node<std::pair<G4String const ,int>,void *> *>",3,0.00,0.00,0.00,0.00,"Hadr04.exe",
"?precision@ios_base@std@@QAE_J_J@Z",1,0.00,0.00,0.00,0.00,"MSVCP120.dll",
"NeutronHPphysics::`scalar deleting destructor'",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"std::vector<yystype,std::allocator<yystype> >::resize",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"SteppingAction::SteppingAction",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"DetectorConstruction::`scalar deleting destructor'",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"RunAction::`scalar deleting destructor'",1,0.00,0.00,0.25,0.00,"Hadr04.exe",
"PrimaryGeneratorAction::`scalar deleting destructor'",1,0.00,0.00,0.03,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"__security_init_cookie",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Uninit_move<G4String *,G4String *,std::allocator<G4String>,G4String>",8,0.00,0.00,0.00,0.00,"Hadr04.exe",
"PhysicsList::~PhysicsList",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"pre_cpp_init",1,0.00,0.00,0.01,0.00,"Hadr04.exe",
"std::_Uninit_def_fill_n<yystype *,unsigned int,std::allocator<yystype>,yystype>",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'Z_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Destroy_range<std::_Wrap_alloc<std::allocator<yystype> > >",4,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::operator<<<char,std::char_traits<char>,std::allocator<char> >",14,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'X_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'meter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
